t,shock,change_0,change_1,change_2
6.549165220934418,16772013.45177251,16728842.24597644,16782806.253221527,16890734.2677117
7.204081743027859,16707256.643078407,16512986.2169961,16674878.238731356,16836770.260466613
7.858998265121301,16664085.437282339,16405058.20250593,16620914.23148627,16782806.253221527
8.513914787214743,16588535.82713922,16405058.20250593,16566950.224241186,16998662.282201868
9.168831309308185,16545364.62134315,16351094.195260845,16512986.2169961,16674878.238731356
9.823747831401626,16480607.812649049,16351094.195260845,16459022.209751016,16620914.23148627
10.478664353495068,16448229.408301998,16297130.188015759,16405058.20250593,16566950.224241186
11.13358087558851,16361886.99670986,16297130.188015759,16351094.195260845,16459022.209751016
11.788497397681951,16307922.989464777,16243166.180770673,16297130.188015759,16459022.209751016
12.443413919775393,16253958.98221969,16027310.151790332,16189202.173525589,16998662.282201868
13.098330441868836,16167616.570627555,15973346.144545248,16135238.166280502,16998662.282201868
13.753246963962276,16113652.56338247,15919382.137300162,16081274.159035418,16243166.180770673
14.408163486055718,16048895.754688367,15973346.144545248,16027310.151790332,16135238.166280502
15.06308000814916,15984138.945994264,15703526.10831982,15919382.137300162,15973346.144545248
15.717996530242601,15908589.335851144,15703526.10831982,15865418.130055077,16027310.151790332
16.372913052336045,15833039.725708026,15703526.10831982,15811454.122809991,15973346.144545248
17.027829574429486,15768282.917013923,15595598.09382965,15757490.115564907,15919382.137300162
17.682746096522926,15692733.306870803,15649562.101074735,15703526.10831982,15865418.130055077
18.33766261861637,15660354.902523752,15595598.09382965,15649562.101074735,15811454.122809991
18.99257914070981,15563219.6894826,15379742.06484931,15541634.086584564,15757490.115564907
19.64749566280325,15520048.483686531,15325778.057604223,15487670.07933948,15649562.101074735
20.302412184896696,15466084.476441445,15271814.05035914,15433706.072094394,15595598.09382965
20.957328706990136,15401327.667747343,15325778.057604223,15379742.06484931,15541634.086584564
21.612245229083577,15325778.057604223,15271814.05035914,15325778.057604223,15487670.07933948
22.26716175117702,15271814.05035914,15217850.043114053,15271814.05035914,15379742.06484931
22.92207827327046,15196264.44021602,15055958.021378797,15163886.035868967,15325778.057604223
23.576994795363902,15142300.432970934,15001994.014133712,15109922.028623883,15271814.05035914
24.231911317457346,15066750.822827814,15001994.014133712,15055958.021378797,15217850.043114053
24.886827839550786,15001994.014133712,14948030.006888626,15001994.014133712,15109922.028623883
25.541744361644227,14969615.609786661,14732173.977908285,14894065.999643542,15055958.021378797
26.19666088373767,14894065.999643542,14678209.970663201,14840101.992398456,15595598.09382965
26.85157740583111,14840101.992398456,14786137.985153371,14948030.006888626,15649562.101074735
27.506493927924552,14764552.382255336,14732173.977908285,15271814.05035914,15595598.09382965
28.161410450017996,14710588.375010252,14516317.948927945,14678209.970663201,15271814.05035914
28.816326972111437,14635038.764867133,14462353.941682858,14624245.963418115,15487670.07933948
29.471243494204877,14624245.963418115,14570281.956173029,14624245.963418115,15487670.07933948
30.12616001629832,14570281.956173029,14354425.927192688,14516317.948927945,14570281.956173029
30.781076538391762,14527110.750376962,14408389.934437774,14516317.948927945,14894065.999643542
31.435993060485202,14527110.750376962,14300461.919947604,14462353.941682858,15271814.05035914
32.09090958257865,14429975.537335807,14246497.912702518,14408389.934437774,15271814.05035914
32.74582610467209,14376011.530090723,14246497.912702518,14354425.927192688,14570281.956173029
33.40074262676553,14300461.919947604,11980009.608408935,14192533.905457433,14300461.919947604
34.05565914885897,14278876.317049569,12195865.637389276,14246497.912702518,14732173.977908285
34.710575670952416,14246497.912702518,12411721.666369617,14192533.905457433,14678209.970663201
35.36549219304585,14106191.493865296,12627577.69534996,14084605.890967261,14732173.977908285
