t,start_STR,end_STR,shock
6.549165220934418,16668812.492491245,16784408.10057423,16822700.26827863
7.204081743027859,16607705.300028455,16727640.274824943,16764176.716635063
7.858998265121301,16546598.107565666,16705239.001058055,16706902.857790856
8.513914787214743,16491490.860645257,16687204.55156166,16644878.746203627
9.168831309308183,16431129.223545723,16617655.776728014,16584757.575924518
9.823747831401626,16381027.848350022,16552402.820892164,16522733.46433729
10.478664353495068,16306642.669894034,16481256.427422974,16460311.723222993
11.13358087558851,16231050.401802301,16413252.017270353,16393885.28472893
11.788497397681953,16156949.244437076,16349117.394479387,16327217.428307716
12.443413919775391,16078339.252255978,16283598.16887095,16259995.730759516
13.098330441868836,16019042.694246806,16195783.287637569,16190672.277139664
13.753246963962276,15970929.466686452,16094779.177001854,16124465.954990942
14.408163486055718,15911526.400768245,16015112.150809754,16057734.193824308
15.06308000814916,15836892.703857837,15951847.342609253,15990221.374658072
15.7179965302426,15769359.534216521,15893481.898224423,15924554.692581803
16.372913052336045,15717767.048294313,15836944.839611385,15860137.703304892
17.027829574429486,15666884.615099015,15776928.522636492,15796416.565700352
17.682746096522926,15614795.092267968,15715651.862071335,15733199.565531919
18.33766261861637,15557593.189803177,15651250.969507778,15670777.82441762
18.99257914070981,15483492.032437954,15584737.670081668,15607546.62319465
19.64749566280325,15416491.402341818,15519111.936564194,15543236.141826775
20.302412184896696,15368378.174781464,15455847.128363693,15480203.755367337
20.957328706990136,15316430.662495801,15391943.272708971,15415694.459235927
21.612245229083577,15246767.334673759,15331092.64377996,15353066.802830826
22.26716175117702,15168512.368856117,15302265.392834544,15289658.088426126
22.92207827327046,15107405.176393326,15289858.111198902,15228322.727984002
23.576994795363905,15046013.962839771,15299320.453552056,15164715.198815767
24.231911317457342,14978409.787925765,15265380.8229729,15103578.653137175
24.886827839550783,14910805.613011759,15247594.89193092,15039857.515532637
25.541744361644227,14855769.37136404,15236092.927522086,14983677.13788787
26.19666088373767,14783052.816816287,15176520.393501509,14928959.468860537
26.85157740583111,14737886.308072606,15139296.769060396,14873176.720742838
27.506493927924552,14690731.65169358,15096960.764985537,14825005.737857608
28.161410450018,14626748.74568681,15042607.118507745,14773944.840373855
28.81632697211144,14564185.945133857,14937946.236328445,14723934.820925929
29.47124349420488,14320950.228218902,14841024.928872457,14672589.902351411
30.12616001629832,14035679.389870936,14765405.203223737,14625107.670611281
30.78107653839176,13768763.414513571,14691347.59357422,14577859.75627103
31.4359930604852,13538628.170410091,14651514.525361715,14523255.695680004
32.09090958257865,13335687.945747223,14620432.857008364,14461693.118365265
32.74582610467209,13159445.703616133,14563931.301031671,14393001.611672362
33.40074262676553,13014090.75510559,14471057.294119064,14320845.047672145
34.05565914885897,12887623.209130825,14363449.693123093,14220016.554559339
